Longitud,Latitud
41.8542371,0.957578
41.1980207,1.628035
42.3669299,2.8334038
42.3611205,1.8699462
40.7212388,0.7176492
41.6055074,2.4307539
41.1458284,0.9301201
42.1094266,3.1428341
41.5562225,1.8611011
41.8697876,2.4174746
41.4950371,1.004179
41.3971819,1.1029318
41.3772561,2.0910377
42.3909458,3.0006856
42.1779464,2.7950993
42.5758342,1.0879541
42.0535683,1.7712445
42.0348437,2.3700711
42.3731557,1.5228293
41.8755064,2.1106617
41.6916073,1.3783625
42.6269227,1.1227106
42.5927358,1.2617265
41.1454006,0.8204726
42.2520881,2.9956836
42.497024,1.2719532
41.1621105,0.4736798
41.2775913,1.0043284
41.7208204,2.2736559
42.1680787,1.7879685
42.1981887,1.3951694
41.2160813,0.7310074
42.2655066,2.9581046
41.3714085,1.2653356
42.0450143,2.9625587
41.2281062,0.5435091
41.5107312,0.9205739
41.7273226,2.6786163
41.7274934,2.4428424
42.0399835,2.9975238
41.940098,2.3162571
41.634355,0.8740871
41.7577002,1.7246856
42.387655,1.9196949
42.0113688,3.1127413
42.1472253,2.7724117
41.4347024,1.5910701
41.8768861,1.0129973
41.9476764,3.0876783
41.4924767,1.23587
41.9312102,2.8116007
42.2441155,3.0413461
41.6478275,2.3123031
40.6722143,0.5204658
41.7150982,1.0167344
41.4632915,1.0242097
41.9164297,1.9253448
40.6818426,0.4631743
41.6939066,2.1151912
41.0524377,0.4372669
41.1364174,0.6506283
41.2074549,1.2475459
41.6933493,2.2778128
42.1927719,2.9544372
42.102769,3.0225754
42.3444248,3.0638805
41.2987914,1.9930466
42.122861,0.9210213
41.4399149,1.8672009
42.4115966,1.845855
41.6603639,0.3936722
41.0417854,0.6334662
41.9794005,2.8214264
42.0343553,1.8818441
42.2717296,1.7830973
40.6546716,0.4696996
41.6324739,0.9322549
42.2477628,2.0907311
42.237224,1.6596733
NaN,NaN
