Municipi,Comarca,Altitud (m),Superfície (km²),Població,Longitud,Latitud
Cardona,Bages,507,67,4575.0,41.913607,1.6797134
Carme,Anoia,351,12,754.0,41.5348511,1.6226538
Caseres,Terra Alta,324,43,233.0,41.0394453,0.2511497
Cassà de la Selva,Gironès,137,45,10680.0,41.8862532,2.8751691
Casserres,Berguedà,611,30,1646.0,42.0120819,1.8434162
Castell de l'Areny,Berguedà,954,24,69.0,42.1730883,1.9452014
Castell de Mur,Pallars Jussà,532,62,171.0,42.1046566,0.8579818
Castellar de la Ribera,Solsonès,657,60,135.0,42.0223125,1.4155391
Castellar de n'Hug,Berguedà,1395,47,176.0,42.2829512,2.0172181
Castellar del Riu,Berguedà,920,33,175.0,42.1206982,1.7626291
Castellar del Vallès,Vallès Occidental,331,45,24933.0,41.6172338,2.0873256
Castellbell i el Vilar,Bages,178,29,3889.0,41.6291032,1.8641519
Castellbisbal,Vallès Occidental,132,31,12735.0,41.482929,1.9869293
Castellcir,Moianès,773,34,778.0,41.7703577,2.1548473
Castelldans,Garrigues,353,65,895.0,41.4974858,0.7663538
Castelldefels,Baix Llobregat,3,13,67307.0,41.2800161,1.9766294
Castellet i la Gornal,Alt Penedès,137,48,2474.0,41.2535361,1.5925029
Castellfollit de la Roca,Garrotxa,296,1,926.0,42.219731,2.5488918
Castellfollit de Riubregós,Anoia,467,26,159.0,41.7758933,1.4379359
Castellfollit del Boix,Bages,700,59,460.0,41.6658732,1.6842693
Castellgalí,Bages,266,17,2236.0,41.6747239,1.8435319
Castellnou de Bages,Bages,469,29,1431.0,41.8343436,1.8367862
Castellnou de Seana,Pla d'Urgell,269,16,715.0,41.6479821,0.9704298
Castelló d'Empúries,Alt Empordà,17,42,11611.0,42.2604918,3.0738992
Castelló de Farfanya,Noguera,358,53,508.0,41.8174163,0.7265542
Castellolí,Anoia,415,25,636.0,41.598018,1.6997629
Castell-Platja d'Aro,Baix Empordà,5,22,11757.0,41.8144466,3.0321868
Castellserà,Urgell,267,16,961.0,41.7458448,0.9874443
Castellterçol,Moianès,726,32,2655.0,41.7503185,2.1199
Castellvell del Camp,Baix Camp,219,5,2946.0,41.187811,1.0897511
Castellví de la Marca,Alt Penedès,198,28,1614.0,41.3324427,1.5942571
Castellví de Rosanes,Baix Llobregat,178,16,2096.0,41.4500186,1.8995445
Catllar,Tarragonès,59,26,4921.0,41.1759037,1.3270397
Cava,Alt Urgell,1335,42,51.0,42.3252871,1.6055202
Cellera de Ter,Selva,166,15,1967.0,41.9685385,2.620788
Celrà,Gironès,71,20,5503.0,42.025748,2.8790408
Centelles,Osona,496,15,7641.0,41.7973754,2.2222269
Cercs,Berguedà,650,47,1169.0,42.1468742,1.8601862
Cerdanyola del Vallès,Vallès Occidental,82,31,57291.0,41.4900419,2.1396748
Cervelló,Baix Llobregat,122,24,9307.0,41.3896747,1.9539106
Cervera,Segarra,548,55,9393.0,41.671465,1.272254
Cervià de les Garrigues,Garrigues,444,34,642.0,41.4274049,0.8609602
Cervià de Ter,Gironès,45,10,999.0,42.0667654,2.9094816
Cistella,Alt Empordà,130,26,307.0,42.2684611,2.8480486
Ciutadilla,Urgell,519,17,190.0,41.5612352,1.1395
Clariana de Cardener,Solsonès,500,41,162.0,41.9331297,1.626142
Cogul,Garrigues,279,18,151.0,41.4673371,0.6897597
Colera,Alt Empordà,10,24,468.0,42.4004541,3.1277854
Coll de Nargó,Alt Urgell,573,151,548.0,42.1738219,1.3161974
Collbató,Baix Llobregat,388,18,4726.0,41.5644495,1.8147696
Colldejou,Baix Camp,431,15,172.0,41.0999205,0.8874775
Collsuspina,Moianès,901,15,398.0,41.8265144,2.1751135
Colomers,Baix Empordà,41,4,204.0,42.0845206,2.9881816
Coma i la Pedra,Solsonès,1004,61,278.0,42.175938,1.5886966
Conca de Dalt,Pallars Jussà,507,167,427.0,42.2121579,1.0011902
Conesa,Conca de Barberà,705,29,109.0,41.5181131,1.2912103
Constantí,Tarragonès,81,31,6685.0,41.1535458,1.212596
Copons,Anoia,432,19,333.0,41.6460892,1.5160212
Corbera d'Ebre,Terra Alta,337,53,993.0,41.0768503,0.4755993
Corbera de Llobregat,Baix Llobregat,342,18,15210.0,41.4202064,1.9245812
Corbins,Segrià,211,21,1462.0,41.6901038,0.6927257
Corçà,Baix Empordà,43,16,1268.0,41.9872589,3.0144382
Cornellà de Llobregat,Baix Llobregat,27,7,89039.0,41.3573827,2.0707159
Cornellà del Terri,Pla de l'Estany,96,28,2407.0,42.0891611,2.8160067
Cornudella de Montsant,Priorat,533,64,978.0,41.2671938,0.9152051
Creixell,Tarragonès,48,11,3981.0,41.1655007,1.4359781
Crespià,Pla de l'Estany,138,11,276.0,42.1880382,2.7985236
"Cruïlles, Monells i Sant Sadurní de l'Heura",Baix Empordà,110,100,1338.0,41.9570559,2.9922348
Cubelles,Garraf,12,14,16386.0,41.2085031,1.6727934
Cubells,Noguera,499,39,356.0,41.8542371,0.957578
Cunit,Baix Penedès,10,10,14622.0,41.1980207,1.628035
Darnius,Alt Empordà,193,35,535.0,42.3669299,2.8334038
Das,Cerdanya,1219,15,267.0,42.3611205,1.8699462
Deltebre,Baix Ebre,6,107,11656.0,40.7212388,0.7176492
Dosrius,Maresme,147,41,5710.0,41.6055074,2.4307539
Duesaigües,Baix Camp,268,14,232.0,41.1458284,0.9301201
Escala,Alt Empordà,14,16,10520.0,42.1094266,3.1428341
Esparreguera,Baix Llobregat,187,27,22365.0,41.5562225,1.8611011
Espinelves,Osona,752,17,248.0,41.8697876,2.4174746
Espluga Calba,Garrigues,434,22,331.0,41.4950371,1.004179
Espluga de Francolí,Conca de Barberà,411,57,3698.0,41.3971819,1.1029318
Esplugues de Llobregat,Baix Llobregat,110,5,46414.0,41.3772561,2.0910377
Espolla,Alt Empordà,124,44,408.0,42.3909458,3.0006856
Esponellà,Pla de l'Estany,142,16,489.0,42.1779464,2.7950993
